Number;Text;Flag
500163;變數：strength，dexterity，intelligence，maxhp，curhp，maxmana，curmana，maxfatigue，curfatigue;Modified
500164;找不到目標;Modified
500165;無法找到變數;Modified
500166;我不會告訴你這東西裡有多少此樣物品..;Modified
500167;你現在是位罪犯;Modified
500168;你現在無法說任何話，你已經被封口了;Modified
500169;你無法撿起該物品;Modified
500170;你無法撿起該物品;Modified
500171;你已經累得連手指都動不了，更別提別的動作了;Modified
500172;偷竊行動失敗;Modified
500173;有人想從你的身上偷東西;Modified
500174;你成功的偷取了該物品！;Modified
500175;該物品需要資源才能使用;Modified
500176;那個容器不屬於你的，無法將物品放進去;Modified
500177;已經無法存取銀行物品;Modified
500178;已經無法存取銀行物品;Modified
500179;在那本魔法書內已經抄寫了該魔法;Modified
500180;你的神權允許你超塞物品進入該容器;Modified
500181;你的神權允許你超塞物品進入該容器;Modified
500182;抱歉，你無法請求協助;Modified
500183;下一位有空的顧問或是GM將會盡快回覆;Modified
500184;下一位有空的GM將會盡快回覆;Modified
500185;下一位有空的顧問將會盡快回覆;Modified
500186;你好，又見面了;Modified
500187;你的命令無法執行，請再試一次;Modified
500188;你的命令無法執行，請再試一次;Modified
500189;你的命令無法執行，請再試一次;Modified
500190;你什麼都沒買！;Modified
500191;求求你的寬恕，但你的銀行帳戶中資金不足;Modified
500192;求求你的寬恕，但你無法負擔那代價;Modified
500193;我再也不會向你買東西了;Modified
500194;你一次只能夠出售 5 樣物品！;Modified
500195;無法完成你的請求;Modified
500196;除非容器是空的，否則你無法將它售出;Modified
500197;你並沒有提供任何東西！;Modified
500198;無法完成你的請求;Modified
500199;哎呀！我們已經找那樣東西很久了！;Modified
500200;我並不需要那樣東西;Modified
500201;我不能死;Modified
500202;施法失敗;Modified
500203;魔法值不足;Modified
500204;你無法說任何話，你已經被封口了;Modified
500205;當座騎在戰鬥之中時，你是無法騎上牠的;Modified
500206;牠距離你太遠了，你無法騎上牠;Modified
500207;魔法書必須要在你的背包內 (且不能放在背包內的容器內) 才能夠被打開;Modified
500208;它是空的;Modified
500209;你無法偷窺那個容器;Modified
500210;你對那個容器的偷窺動作失敗了;Modified
500211;你已經累得連一隻手指都動不了了;Modified
500212;你對那個容器的偷窺動作失敗了;Modified
500213;你的身體還不夠強壯，無法裝備它;Modified
500214;你的雙手上正拿著東西;Modified
500215;你一次只能夠裝備一樣武器;Modified
500216;要裝備本武器你必須先空出雙手;Modified
500217;你的左手必須空出才能裝備本武器;Modified
500218;你的右手必須空出才能裝備本武器;Modified
500219;你已經裝備了一個雙手武器;Modified
500220;哦！那真是可愛！;Modified
500221;哈哈！想念我吧！;Modified
500222;我應該烹煮什麼？;Modified
500223;我應該烹煮什麼？;Modified
500224;我應該烹煮什麼？;Modified
500225;我應該烹煮什麼？;Modified
500226;我應該烹煮什麼？;Modified
500227;木板堆;Modified
500228;木板堆;Modified
500229;柴堆;Modified
500230;柴堆;Modified
500231;你感覺所中的毒已經被治癒了！;Modified
500232;那個藥水的效力並不足以治癒你的痛楚！;Modified
500233;你已經中毒了;Modified
500234;這東西使你中毒了，如果你不是新來到不列顛尼亞大陸的，以後小心一點;Modified
500235;你必須等待 10 秒才能夠再次使用治療藥水;Modified
500236;你現在應該將它丟出了！;Modified
500237;無法看見目標;Modified
500238;選擇一個原料以便混合或是選擇火源來烤;Modified
500239;內定;Modified
500240;我應該烹煮什麼？;Modified
500241;名字正確;Modified
500242;我應該烹煮什麼？;Modified
500243;你烤了一個派;Modified
500244;我應該烹煮什麼？;Modified
500245;開始打開的時間到了;Modified
500246;依舊打開;Modified
500247;門簾現在打開了;Modified
500248;開始打開的時間到了;Modified
500249;依舊打開;Modified
500250;目前門簾開啟中;Modified
500251;那個地點距離你太遠了;Modified
500252;無法將船隻放置於該處;Modified
500253;最高 =;Modified
500254;比率 =;Modified
500255;等級 =;Modified
500256;滿意度 =;Modified
500257;我應該烹煮什麼？;Modified
500258;我應該烹煮什麼？;Modified
500259;"輸入要進行地形掃描的區域，以 (x;y) (x;y) 格式進行：";Modified
500260;設定的作業區域取消;Modified
500261;作業區域設定格式錯誤;Modified
500262;地形掃描完成;Modified
500263;*飛濺酸血腐蝕了你的武器！*;Modified
500264;老實說，我不是一把鑰匙;Modified
500265;老實說，我不是一把鑰匙;Modified
500266;你想要增加什麼？;Modified
500267;未定義類型！錯誤;Modified
500268;這個物品必須被放置於某樣東西上;Modified
500269;你無法在該處建立該物品;Modified
500270;你無法在該處建立該物品;Modified
500271;你無法在門的附近建立該物品;Modified
500272;你無法在樓梯的附近建立該物品;Modified
500273;這個附加的契約是空白的;Modified
500274;你無法在你所擁有的屋內放置本物品！;Modified
500275;你無法在屋內放置本物品;Modified
500276;你無法在不屬於你的屋內或船上放置本物品！;Modified
500277;建造中斷，請再試一次;Modified
500278;由於你是位新玩家，可能無法對老玩家施展幫助性法術;Modified
500279;你將藥水倒進了一個瓶子中...;Modified
500280;...並將它放入你的背包之中;Modified
500281;...但是你的背包中沒有足夠的空間容納它;Modified
500282;你做出了藥水並將它到入藥水桶中;Modified
500283;該容器已經滿了，無法容納你的藥水;Modified
500284;你應該夠聰明到不會將不同的藥水倒進那個藥水桶中;Modified
500285;你無法確定該藥水桶中有些什麼，因此最好不要將你的藥水倒進去;Modified
500286;你無法完成你死前正在進行的工作;Modified
500287;你沒有製造出有用的藥水;Modified
500288;死人是無法製作藥水的;Modified
500289;你確定要把藥水到入哪個瓶子或是藥水桶中？;Modified
500290;你停止了磨藥並且將缽倒乾;Modified
500291;有其他人正在使用它;Modified
500292;你想用什麼藥材來製作藥水？;Modified
500293;你無法完成你死前正在進行的工作.;Modified
500294;你無法使用它;Modified
500295;你離它太遠了，無法執行該動作;Modified
500296;該物品不是你能夠拿來研磨的東西！;Modified
500297;它不是藥水原料;Modified
500298;你所具備的技能並不足以製造出任何物品;Modified
500299;那不是一個可以容納藥水的容器;Modified
500300;它們並不相同;Modified
500301;它不在那;Modified
500302;無法在桶內發現敘述列表;Modified
500303;藥水上並沒有寫著 'power' objVar。;Modified
500304;它們並不相同;Modified
500305;藥水上並沒有寫著 'modifier' objVar。;Modified
500306;它們並不相同;Modified
500307;混合物爆炸了！;Modified
500308;你聞到了一股奇怪的味道！;Modified
500309;什麼事都沒發生.;Modified
500310;你太忙了，無法進行其他的動作;Modified
500311;選擇用以加熱的熱源或是要混合的其他藥材;Modified
500312;你無法接觸到它;Modified
500313;這試管是空著的;Modified
500314;那個台子是屬於其他人的;Modified
500315;你需要一個空瓶才能夠製造藥水;Modified
500316;你製造了一個神秘的藥水;Modified
500317;什麼事都沒發生;Modified
500318;這試管是空著的;Modified
500319;你的罪行已經被赦免了。-- Lord British .;Modified
500320;原諒不良的行為！ --Lord Blackthorn;Modified
500321;我應該測定誰？;Modified
500322;那位仁兄看來不錯，它也許知道一些新聞...;Modified
500323;只有活著的生物可以被解剖技能測定！;Modified
500324;你已經很清楚自己的身體狀況;Modified
500325;我離的太遠，無法執行該動作;Modified
500326;無法檢查;Modified
500327;疲倦的你無法鑑識出任何有用的資訊;Modified
500328;我應該尋找什麼動物？;Modified
500329;那並不是一隻動物！;Modified
500330;那並不是一隻動物！;Modified
500331;死去的靈魂並無法進行動物學。;Modified
500332;我離的太遠而無法執行該動作。;Modified
500333;你太疲倦了以致無法分辨出任何有用的資訊;Modified
500334;你無法想起你曾經記得的東西;Modified
500335;選擇一個地點放置你的鐵砧;Modified
500336;你以後無法將它放入你的背包中;Modified
500337;Targetobj called;Modified
500338;無法在該處放置鐵砧;Modified
500339;無法在該處放置鐵砧;Modified
500340;Targetloc called;Modified
500341;無法在該處放置鐵砧;Modified
500342;無法在該處放置鐵砧;Modified
500343;你想要辨識估價什麼物品？;Modified
500344;你無法看清該物品，以致無法辨識它;Modified
500345;你不夠專心，以致無法正確的估計該物的價值;Modified
500346;無法看見目標;Modified
500347;無法看見目標;Modified
500348;我離的太遠，無法執行該動作;Modified
500349;你想要獲得什麼物品的資訊？;Modified
500350;你離的太遠，而無法分辨它的價值;Modified
500351;你無法看清楚，以致無法分辨它的價值;Modified
500352;本物品既不是武器也不是護具;Modified
500353;你無法確定...;Modified
500354;你想要將哪扇門加入我的鑰匙列表中？;Modified
500355;確定;Modified
500356;門已經被加入我的鑰匙列表中;Modified
500357;即使這拉桿曾經有任何用處，現在也都無效了;Modified
500358;那根拉桿斷了，你發現將無法再控制它;Modified
500359;你撥動了拉桿並且以為聽到了聲音，但卻發現這都只是你的幻想而已;Modified
500360;撥動那拉桿並沒有產生任何作用，做了白功;Modified
500361;你撥動了拉桿，使得它比從前更加破舊了！;Modified
500362;你想要傳送什麼訊息給玩家？;Modified
500363;文字輸入時間結束;Modified
500364;你無法使用它，它是屬於其他人的財產;Modified
500365;它正被其他人使用中;Modified
500366;選擇一台織布機來使用;Modified
500367;試著在織布機上使用它;Modified
500368;你製作了一些衣服並將其放入你的背包中;Modified
500369;這是一個投票箱，不是一個容器！;Modified
500370;請輸入你所投的票上的意見，然後按 ENTER，當全部完成後按 ESC;Modified
500371;投票已歸零。;Modified
500372;你已經投票過了;Modified
500373;你的投票已經被登錄了;Modified
500374;你已經投票過了;Modified
500375;你的投票已經被登錄了;Modified
500376;完成投票輸入;Modified
500377;下一行或是按 ESC 結束：;Modified
500378;我不會與一位罪犯進行交易！;Modified
500379;你必須告訴我想要的價碼;Modified
500380;唉呀，你想要騙我嗎？你沒有這麼多的錢！;Modified
500381;你無法一次提出這麼多的錢！;Modified
500382;你的戶頭中並沒有這麼多的錢可以提出;Modified
500383;你必須擁有至少 5000 gp才能夠換成支票;Modified
500384;唉呀，你想要騙我嗎？你沒有這麼多的錢！;Modified
500385;你的戶頭中並沒有這麼多的錢可以提出;Modified
500386;你的銀行箱中沒有足夠的空間放置本支票！;Modified
500387;這不是錢！;Modified
500388;我只接受錢幣;Modified
500389;我不會與一位罪犯進行交易！;Modified
500390;你的銀行保險箱已經滿了;Modified
500391;"目前為止一個銀行帳號最多只能夠儲存 65;000 元";Modified
500392;朋友，分點錢來花花好嗎？;Modified
500393;一點點錢就好了;Modified
500394;你一定可以跟我分享些什麼;Modified
500395;我已經好幾天沒吃飯了;Modified
500396;我有小孩子要養;Modified
500397;你要向誰乞討？;Modified
500398;也許問問後會做的比較好;Modified
500399;要從這拿走錢的機率不高！;Modified
500400;要從這拿走錢的機率不高！;Modified
500401;你離他太遠了，而無法向他乞討;Modified
500402;你離他太遠了，而無法向他乞討;Modified
500403;你離的太遠了，以致你無法向他乞討;Modified
500404;他們似乎不願意給你任何錢;Modified
500405;我覺得你很可悲...;Modified
500406;你看起來並不值得信任...，不給你錢！;Modified
500407;我已經沒有足夠的錢給你了！;Modified
500408;受害者;Modified
500409;乞丐;Modified
500410;你看起來並不值得信任...，不給你錢！;Modified
500411;我已經沒有足夠的錢給你了！;Modified
500412;我已經沒有足夠的錢給你了！;Modified
500413;我已經沒有足夠的錢給你了！;Modified
500414;達到乞討路徑的終點;Modified
500415;讓我想想...;Modified
500416;我認為不該離你這麼近，以免別人認為我很容易受騙...;Modified
500417;一股強烈的預感籠罩著你。;Modified
500418;此物件為輸入原料，可能是於商店中購買，同時未使用相當的冶練。;Modified
500419;一些鐵因熱而失去了它原有的顏色;Modified
500420;你離火爐不夠近;Modified
500421;你無法使用它;Modified
500422;你無法對它做工;Modified
500423;它已經被修復了;Modified
500424;你摧毀了該物品;Modified
500425;你修復了該物品;Modified
500426;我無法修復它;Modified
500427;你無法對它使用鐵匠技能！;Modified
500428;這個奇特的鐵材超越了你的技能範圍--你完全沒概念可以用它做什麼！;Modified
500429;你無法熔解任何已經穿著或是握著的東西。;Modified
500430;你無法避免摧毀那盾牌;Modified
500431;你只能夠熔解在你背包內的物品;Modified
500432;你只能夠熔解在你背包內的物品;Modified
500433;本物品無法被熔解;Modified
500434;該物正被其他人使用中;Modified
500435;從上面的選單中選擇想要的;Modified
500436;選擇要修復的物品;Modified
500437;選擇你想要熔解的物品;Modified
500438;選擇你想要使用的鐵材;Modified
500439;你擁有的鐵材不足以製作該物品;Modified
500440;你無法將該物品放入你的背包中！製作中斷;Modified
500441;你損失了一些鐵材;Modified
500442;你製作了一個物品並將其放入背包中;Modified
500443;再將其磨利的過程中，你將它的金屬原色去除了;Modified
500444;由於你優異的技能，你所做出物品的品質高於一般品質;Modified
500445;你的技能並不足以應付製作本物品，使它的品質低於一般品質;Modified
500446;那東西太遠了;Modified
500447;那無法使用;Modified
500448;那無法使用;Modified
500449;這隻羊還沒有準備好被剪毛;Modified
500450;但是它還沒死！;Modified
500451;你無法將剪下的羊毛放入你的背包中！;Modified
500452;你將剪下的羊毛放入你的背包中;Modified
500453;這隻羊在你試圖剪牠的毛時機靈的逃脫了;Modified
500454;該羊毛使屬於其他人的;Modified
500455;這裡沒有足夠的羊毛;Modified
500456;你不能切割那隻魚，那是屬於別人的;Modified
500457;你無法將魚放入你的背包之中！;Modified
500458;你將魚切割成魚排並將其放入你的背包之中;Modified
500459;由於你是本屋的屋主/副屋主，你可以摧毀屋內的可移動傢俱;Modified
500460;你只能夠打開屬於自己的木箱;Modified
500461;你摧毀了該物品;Modified
500462;當它位在該處時你無法摧毀它;Modified
500463;你必須使用斧頭才能夠摧毀它;Modified
500464;在一具屍體上使用它便可以割下肉與皮革;Modified
500465;你並沒有空間放置肉，你將肉留置在屍體上;Modified
500466;你割下了一些肉;Modified
500467;你割下了一些留在屍體上的肉;Modified
500468;在屍體上已經沒有可割下的肉;Modified
500469;你並沒有空間放置皮革，你將皮革留置在屍體上;Modified
500470;你切割屍體並得到了皮革;Modified
500471;你切割屍體，皮革還在屍體上;Modified
500472;割下的皮革是無用的;Modified
500473;你沒有空間放置毛皮，你將毛皮留置在屍體上;Modified
500474;你切割屍體並得到了毛皮;Modified
500475;你切割屍體，毛皮還在屍體上;Modified
500476;割下的毛皮是無用的;Modified
500477;你沒有空間放置羽毛，你將羽毛留置在屍體上;Modified
500478;你切割鳥的屍體並得到了羽毛;Modified
500479;你切割鳥的屍體，羽毛還在屍體上;Modified
500480;你無法取得任何有用的羽毛;Modified
500481;你沒有空間放置羊毛，你將羊毛留置在屍體上;Modified
500482;你切割屍體並得到了羊毛.;Modified
500483;你切割屍體，但羊毛還在屍體上;Modified
500484;切割屍體的動作似乎是浪費時間，毫無意義的;Modified
500485;你無法從屍體上切下任何有用的東西;Modified
500486;那東西太遠了;Modified
500487;如果你要專注的伐木的話，你必須裝備斧頭;Modified
500488;這棵樹上沒有足夠的木材可以砍下;Modified
500489;你無法對它使用斧頭;Modified
500490;你無法將任何樹枝放入你的背包中！;Modified
500491;你將樹枝放入你的背包中;Modified
500492;用一把斧頭才能夠讓你砍下更多的木材;Modified
500493;這棵樹上沒有足夠的木材可以砍下;Modified
500494;你無法對它使用切割性物品;Modified
500495;你砍了樹一陣子，但是並沒有砍下任何可用的木材;Modified
500496;你砍了樹一陣子，但是並沒有砍下任何可用的木材;Modified
500497;你無法將砍下的木材放入你的背包中！;Modified
500498;你將一些木材放入你的背包中;Modified
500499;你弄壞了你的斧頭;Modified
500500;你的背包中沒有足夠的空間放置物品！你停止了製作的動作;Modified
500501;由於你優異的技能，你所做出物品的品質高於一般品質;Modified
500502;你的技能並不足以應付製作本物品，使得它的品質低於一般品質;Modified
500503;在砍一陣子後，回到指派給你這個工作人的地方;Modified
500504;無法看見目標;Modified
500505;由於你是位新玩家，可能無法對老玩家施展幫助性法術;Modified
500506;你想要祝福什麼物品？;Modified
500507;你只能夠祝福一件物品！;Modified
500508;你只能夠祝福你現在身上攜帶的物品。;Modified
500509;你不能夠祝福本物體！;Modified
500510;你不能夠祝福本物體。;Modified
500511;該物體已經被祝福過了。;Modified
500512;你無法從老玩家的屍體上拿取任何物品.;Modified
500513;某位年輕的戰士殺死了它，你無法從這屍體上拿取任何物品;Modified
500514;由於你不是殺死它的人，而且殺死它的人還沒有完成掠奪的動作，因此你無法掠奪這屍體內的物品;Modified
500515;剩餘的人性;Modified
500516;將受刑人加入懸賞列表;Modified
500517;開啟報告選單;Modified
500518;你取消了懸賞報告程序;Modified
500519;發生了一項錯誤，而殺死你的謀殺犯未被控告;Modified
500520;你取消了懸賞報告程序;Modified
500521;你取消了懸賞報告程序;Modified
500522;殺人者的殺人點數低於被害人的;Modified
500523;因為殺死你的人所殺的人比你少，所以你不能控告他;Modified
500524;被害人的名聲過低，以致無法進行控告;Modified
500525;你因為名聲過低而不能將罪行向 Lord British 的守衛報告;Modified
500526;被害者被冠上罪犯旗標;Modified
500527;你因為名聲過低而不能將罪行向 Lord British 的守衛報告;Modified
500528;被害人沒有 lastCriminal 紀錄;Modified
500529;被害人的最後罪刑並不符合殺人者;Modified
500530;允許控告！;Modified
500531;回復殺人點數。;Modified
500532;沒有獎賞！;Modified
500533;來自銀行的黃金量：;Modified
500534;在移轉後所剩的黃金量：;Modified
500535;來自看板的黃金量：;Modified
500536;獎賞！;Modified
500537;賞金已經給你了，而你的善行也因此被證明！;Modified
500538;錯誤的附帶賞金語法;Modified
500539;這是一個被砍下的頭，真是噁心呀;Modified
500540;這是一個被砍下的頭，真是噁心呀;Modified
500541;這的確是被懸賞的頭，不過不是在這裡領賞。繼續尋找吧，我的朋友，會有一位正確的守衛會給你賞金的;Modified
500542;我們只接受榮譽的人所帶來的頭！你走吧！;Modified
500543;我聽說這個人渣被清理掉了，但是並不是你的功勞，因此獎賞也不會給你！;Modified
500544;這位仁兄沒有任何殺人紀錄;Modified
500545;這裡也有未完成的獎金;Modified
500546;我現在是獎金獵人！;Modified
500547;減少獎金數;Modified
500548;屬性懲罰;Modified
500549;殺人者的名聲需高於中立才能獲得獎金;Modified
500550;你的殺人點數比被害人高，因此無法領取獎金。;Modified
500551;當你殺死他們後，你發現他們是被懸賞的！將他們的頭取下以作為勝利的證據;Modified
500552;選擇要懸賞的玩家：;Modified
500553;檢查點火器;Modified
500554;未點火;Modified
500555;已點火;Modified
500556;添加燃料;Modified
500557;沒燃料了;Modified
500558;位在近距離的目標;Modified
500559;位在遠距離的目標;Modified
500560;預備呼氣.;Modified
500561;唉！錯過了！;Modified
500562;受死吧！;Modified
500563;造成傷害;Modified
500564;造成傷害完成;Modified
500565;抓到你了！;Modified
500566;造成傷害;Modified
500567;造成傷害完成;Modified
500568;傳送失敗;Modified
500569;地形掃描完成;Modified
500570;輸入要提高地形的數量;Modified
500571;輸入要降低地形的數量;Modified
500572;輸入最低水平值：;Modified
500573;輸入最高水平值：;Modified
500574;取消設定地形類型;Modified
500575;"以 (x;y) (x;y) 格式輸入要進行地形掃描的區域：";Modified
500576;設定的作業區域取消;Modified
500577;作業區域設定格式錯誤;Modified
500578;取消設定潮間帶;Modified
500579;取消設定河岸;Modified
500580;取消地形填滿;Modified
500581;輸入目標高度，以 (a，b) 格式輸入一 +/- 值作為亂數產生用：;Modified
500582;取消高度改變;Modified
500583;錯誤的高度改變格式;Modified
500584;取消地形填滿;Modified
500585;取消地形填滿;Modified
500586;你沒有足夠的技能或是資源來建造它！;Modified
500587;雙擊箭靶便可以讓你練習弓類武器;Modified
500588;對目標點攻擊後回到指派你工作的人之處;Modified
500589;繼續射箭完成你的工作;Modified
500590;你現在是鬼魂，不能夠做這件事;Modified
500591;等一下，等它沒人用！;Modified
500592;你蒐集了其上的箭與弩;Modified
500593;你必須在武器的距離內才能夠練習它;Modified
500594;你身上沒有足夠的箭來繼續練習;Modified
500595;你身上沒有足夠的弩來繼續練習;Modified
500596;你最好站在箭靶的正前方練習;Modified
500597;你沒有對準箭靶，因此無法準確的命中它;Modified
500598;你距離箭靶的距離太遠了，因此無法準確的命中它;Modified
500599;你距離目標太近了;Modified
500600;你最好站在箭靶的正前方練習;Modified
500601;你距離箭靶的距離太遠了，因此無法準確的命中它;Modified
500602;你距離箭靶的距離太遠了，因此無法準確的命中它;Modified
500603;你距離目標太近了;Modified
500604;~1_name~ 完全的錯過了目標;Modified
500605;如果你有一份契約，我可以替你估價並將其買回...;Modified
500606;將契約交給我便可以賣掉它;Modified
500607;我對它沒興趣;Modified
500608;你想要對哪一個契約估價？;Modified
500609;我無法對我不認識的物品估價...;Modified
500610;只要將契約交給我，便可以賣掉它;Modified
500611;該樂器永遠無法再發出聲音了;Modified
500612;你演奏的很差，因此沒有產生任何效用;Modified
500613;你試圖平靜所有的人，不過失敗了;Modified
500614;你聽到了音樂，使得你有一陣子無法專心;Modified
500615;你演奏了催眠音樂，停止了所有的戰鬥;Modified
500616;你聽到了悅耳的音樂，因此忘記了進行中的戰鬥！;Modified
500617;你想要演奏哪一個樂器？;Modified
500618;它離你太遠了！;Modified
500619;它不是一個樂器;Modified
500620;你覺得你得花一點時間來完成你的紮營動作;Modified
500621;紮營完成了;Modified
500622;這個物品必須以偷竊的方法才能夠取得;Modified
500623;這個物品必須被偷到後才能使用;Modified
500624;你沒有足夠的木棒來製作藥水桶;Modified
500625;你沒有足夠的鐵箍來製作藥水桶;Modified
500626;你沒有製作藥水桶所需的桶底;Modified
500627;你製作藥水桶的嚐試失敗了;Modified
